CONTENT,CLASS,content_lowercase,content_lowercase_rn,content_tokenization,content_stopword,content_steem,content_clean
"Huh, anyway check out this you[tube] channel: kobyoshi02",1,"huh, anyway check out this you[tube] channel: kobyoshi02",huh anyway check out this you tube channel kobyoshi02,"['huh', 'anyway', 'check', 'out', 'this', 'you', 'tube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'tube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'tube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'tube', 'channel', 'kobyoshi02']"
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,"hey guys check out my new channel and our first vid this is us the  monkeys!!! i'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",hey guys check out my new channel and our first vid this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe,"['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'vid', 'this', 'is', 'us', 'the', 'monkeys', 'i', 'm', 'the', 'monkey', 'in', 'the', 'white', 'shirt', 'please', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hey', 'guys', 'check', 'new', 'channel', 'first', 'vid', 'us', 'monkeys', 'monkey', 'white', 'shirt', 'please', 'leave', 'like', 'comment', 'please', 'subscribe']","['hey', 'guy', 'check', 'new', 'channel', 'first', 'vid', 'us', 'monkey', 'monkey', 'white', 'shirt', 'pleas', 'leav', 'like', 'comment', 'pleas', 'subscrib']","['hey', 'guy', 'check', 'new', 'channel', 'first', 'vid', 'us', 'monkey', 'monkey', 'white', 'shirt', 'pleas', 'leav', 'like', 'comment', 'pleas', 'subscrib']"
just for test I have to say murdev.com,1,just for test i have to say murdev.com,just for test i have to say URL,"['just', 'for', 'test', 'i', 'have', 'to', 'say', 'URL']","['test', 'say', 'URL']","['test', 'say', 'url']","['test', 'say', 'url']"
me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,me shaking my sexy ass on my channel enjoy ^_^ ﻿,me shaking my sexy ass on my channel enjoy,"['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['shaking', 'sexy', 'ass', 'channel', 'enjoy']","['shake', 'sexi', 'ass', 'channel', 'enjoy']","['shake', 'sexi', 'ass', 'channel', 'enjoy']"
watch?v=vtaRGgvGtWQ   Check this out .﻿,1,watch?v=vtarggvgtwq   check this out .﻿,URL check this out,"['URL', 'check', 'this', 'out']","['URL', 'check']","['url', 'check']","['url', 'check']"
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,"hey, check out my new website!! this site is about kids stuff. kidsmediausa  . com",hey check out my new website this site is about kids stuff URL,"['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'URL']","['hey', 'check', 'new', 'website', 'site', 'kids', 'stuff', 'URL']","['hey', 'check', 'new', 'websit', 'site', 'kid', 'stuff', 'url']","['hey', 'check', 'new', 'websit', 'site', 'kid', 'stuff', 'url']"
Subscribe to my channel ﻿,1,subscribe to my channel ﻿,subscribe to my channel,"['subscribe', 'to', 'my', 'channel']","['subscribe', 'channel']","['subscrib', 'channel']","['subscrib', 'channel']"
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,i turned it on mute as soon is i came on i just wanted to check the views,"['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['turned', 'mute', 'soon', 'came', 'wanted', 'check', 'views']","['turn', 'mute', 'soon', 'came', 'want', 'check', 'view']","['turn', 'mute', 'soon', 'came', 'want', 'check', 'view']"
You should check my channel for Funny VIDEOS!!﻿,1,you should check my channel for funny videos!!﻿,you should check my channel for funny videos,"['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']","['check', 'channel', 'funny', 'videos']","['check', 'channel', 'funni', 'video']","['check', 'channel', 'funni', 'video']"
and u should.d check my channel and tell me what I should do next!﻿,1,and u should.d check my channel and tell me what i should do next!﻿,and u should d check my channel and tell me what i should do next,"['and', 'u', 'should', 'd', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['u', 'check', 'channel', 'tell', 'next']","['u', 'check', 'channel', 'tell', 'next']","['u', 'check', 'channel', 'tell', 'next']"
Hey subscribe to me﻿,1,hey subscribe to me﻿,hey subscribe to me,"['hey', 'subscribe', 'to', 'me']","['hey', 'subscribe']","['hey', 'subscrib']","['hey', 'subscrib']"
